"Date","Time","Open","High","Low","Close","Volume"
11/11/2020,1356,119.32,119.37,119.23,119.25,135981
11/11/2020,1357,119.25,119.28,119.2,119.21,128427
11/11/2020,1358,119.22,119.22,119.12,119.16,200097
11/11/2020,1359,119.16,119.2,119.08,119.12,168413
11/11/2020,1400,119.11,119.2,119.02,119.16,199156
11/11/2020,1401,119.17,119.22,119.15,119.22,136720
11/11/2020,1402,119.22,119.32,119.2,119.27,137922
11/11/2020,1403,119.27,119.39,119.27,119.33,181352
11/11/2020,1404,119.33,119.4,119.29,119.33,174765
11/11/2020,1405,119.33,119.37,119.29,119.34,100169
11/11/2020,1406,119.35,119.43,119.32,119.42,172937
11/11/2020,1407,119.42,119.52,119.41,119.51,257815
11/11/2020,1408,119.5,119.54,119.47,119.48,144593
11/11/2020,1409,119.48,119.48,119.41,119.43,110715
11/11/2020,1410,119.43,119.48,119.35,119.4,175046
11/11/2020,1411,119.39,119.44,119.38,119.43,102729
11/11/2020,1412,119.43,119.44,119.38,119.43,82472
11/11/2020,1413,119.42,119.45,119.35,119.37,127283
11/11/2020,1414,119.38,119.4,119.32,119.33,121116
11/11/2020,1415,119.33,119.38,119.27,119.33,146123
11/11/2020,1416,119.33,119.36,119.22,119.26,150556
11/11/2020,1417,119.27,119.28,119.2,119.22,115780
11/11/2020,1418,119.22,119.27,119.16,119.2,166048
11/11/2020,1419,119.19,119.2,119.14,119.17,165469
11/11/2020,1420,119.18,119.28,119.14,119.27,157277
11/11/2020,1421,119.27,119.34,119.26,119.33,148759
11/11/2020,1422,119.32,119.36,119.28,119.29,150460
11/11/2020,1423,119.3,119.35,119.27,119.29,98748
11/11/2020,1424,119.29,119.35,119.23,119.32,142647
11/11/2020,1425,119.33,119.35,119.28,119.31,110277
11/11/2020,1426,119.32,119.32,119.15,119.18,199063
11/11/2020,1427,119.18,119.2,119.15,119.18,104579
11/11/2020,1428,119.19,119.19,119.1,119.14,152135
11/11/2020,1429,119.16,119.2,119.1,119.15,150646
11/11/2020,1430,119.15,119.22,119.08,119.2,194448
11/11/2020,1431,119.2,119.28,119.18,119.28,161595
11/11/2020,1432,119.28,119.3,119.2,119.21,116125
11/11/2020,1433,119.21,119.24,119.14,119.23,82908
11/11/2020,1434,119.23,119.27,119.21,119.22,84536
11/11/2020,1435,119.22,119.23,119.16,119.19,89069
11/11/2020,1436,119.2,119.26,119.17,119.25,87764
11/11/2020,1437,119.24,119.34,119.24,119.31,132828
11/11/2020,1438,119.32,119.41,119.31,119.37,199125
11/11/2020,1439,119.37,119.38,119.27,119.31,152071
11/11/2020,1440,119.31,119.31,119.1,119.11,259429
11/11/2020,1441,119.11,119.16,118.93,118.94,428128
11/11/2020,1442,118.94,119.09,118.93,119.07,222967
11/11/2020,1443,119.07,119.08,118.99,119.04,157457
11/11/2020,1444,119.04,119.19,119.03,119.16,163836
11/11/2020,1445,119.16,119.19,119.1,119.15,105702
11/11/2020,1446,119.14,119.17,119.08,119.11,159950
11/11/2020,1447,119.11,119.16,119.02,119.04,157762
11/11/2020,1448,119.03,119.03,118.83,118.9,302469
11/11/2020,1449,118.89,118.99,118.87,118.94,197048
11/11/2020,1450,118.94,118.94,118.71,118.74,282195
11/11/2020,1451,118.74,118.88,118.72,118.87,190697
11/11/2020,1452,118.88,118.96,118.83,118.89,194875
11/11/2020,1453,118.88,118.9,118.8,118.86,168804
11/11/2020,1454,118.87,118.89,118.82,118.85,145081
11/11/2020,1455,118.84,118.9,118.77,118.88,196219
11/11/2020,1456,118.88,119.01,118.88,118.97,185754
11/11/2020,1457,118.96,118.97,118.85,118.85,154435
11/11/2020,1458,118.86,118.88,118.79,118.82,96112
11/11/2020,1459,118.81,118.97,118.81,118.93,96961
11/11/2020,1500,118.93,119.02,118.88,118.98,158537
11/11/2020,1501,118.98,118.99,118.86,118.91,114906
11/11/2020,1502,118.9,118.99,118.88,118.98,96199
11/11/2020,1503,118.97,119.04,118.97,119.03,221492
11/11/2020,1504,119.03,119.05,118.96,119.05,158750
11/11/2020,1505,119.05,119.05,118.94,119,147451
11/11/2020,1506,119.01,119.13,118.99,119.1,240084
11/11/2020,1507,119.1,119.12,119.04,119.12,132888
11/11/2020,1508,119.11,119.12,119.06,119.07,100919
11/11/2020,1509,119.06,119.13,119.04,119.12,127557
11/11/2020,1510,119.13,119.17,119.08,119.11,178895
11/11/2020,1511,119.11,119.14,119.05,119.12,139940
11/11/2020,1512,119.13,119.13,119.06,119.11,79737
11/11/2020,1513,119.11,119.18,119.09,119.17,135928
11/11/2020,1514,119.17,119.23,119.14,119.22,247524
11/11/2020,1515,119.22,119.22,119.11,119.16,190063
11/11/2020,1516,119.16,119.2,119.14,119.17,147544
11/11/2020,1517,119.16,119.2,119.04,119.08,190544
11/11/2020,1518,119.09,119.15,119.02,119.15,176542
11/11/2020,1519,119.15,119.2,119.13,119.18,122057
11/11/2020,1520,119.18,119.18,119.02,119.11,229106
11/11/2020,1521,119.11,119.15,119.02,119.05,143503
11/11/2020,1522,119.06,119.08,118.94,118.94,193761
11/11/2020,1523,118.95,119.01,118.81,118.9,232277
11/11/2020,1524,118.89,119.05,118.89,119,193496
11/11/2020,1525,119.01,119.03,118.91,119,156947
11/11/2020,1526,119,119.12,119,119.08,176596
11/11/2020,1527,119.07,119.07,118.96,118.99,106746
11/11/2020,1528,118.99,118.99,118.86,118.9,189174
11/11/2020,1529,118.9,118.95,118.88,118.9,186395
11/11/2020,1530,118.9,119.01,118.86,118.99,187471
11/11/2020,1531,118.98,119.07,118.93,119.05,187771
11/11/2020,1532,119.06,119.2,119.06,119.14,259093
11/11/2020,1533,119.14,119.18,119.09,119.16,146879
11/11/2020,1534,119.14,119.19,119.11,119.14,184837
11/11/2020,1535,119.14,119.15,119.06,119.11,141013
11/11/2020,1536,119.1,119.16,119.06,119.09,149145
11/11/2020,1537,119.1,119.18,119.07,119.18,114787
11/11/2020,1538,119.18,119.26,119.16,119.23,323901
11/11/2020,1539,119.23,119.42,119.23,119.37,317833
11/11/2020,1540,119.37,119.37,119.25,119.29,262501
11/11/2020,1541,119.3,119.3,119.21,119.24,159653
11/11/2020,1542,119.25,119.25,119.11,119.24,170266
11/11/2020,1543,119.25,119.3,119.2,119.27,155129
11/11/2020,1544,119.26,119.35,119.26,119.34,240472
11/11/2020,1545,119.33,119.36,119.25,119.29,232383
11/11/2020,1546,119.29,119.32,119.21,119.25,153265
11/11/2020,1547,119.25,119.33,119.23,119.3,186230
11/11/2020,1548,119.3,119.32,119.24,119.3,137767
11/11/2020,1549,119.29,119.39,119.26,119.35,270272
11/11/2020,1550,119.37,119.45,119.31,119.34,320816
11/11/2020,1551,119.33,119.33,119.2,119.29,271727
